device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price
Honor 0,Android,14.5,yes,no,13.0,5.0,64.0,3.0,3020.0,146.0,2020,127,4.307572449,4.715100245
Honor 1,Android,17.3,yes,yes,13.0,16.0,128.0,8.0,4300.0,213.0,2020,325,5.162096647,5.519017936
Honor 2,Android,16.69,yes,yes,13.0,8.0,128.0,8.0,4200.0,213.0,2020,162,5.111083765,5.884630724
Honor 3,Android,25.5,yes,yes,13.0,8.0,64.0,6.0,7250.0,480.0,2020,345,5.135386588,5.630960854
Honor 4,Android,15.32,yes,no,13.0,8.0,64.0,3.0,5000.0,185.0,2020,293,4.389994804,4.947837479
Honor 5,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2020,223,4.413888608,5.060694494
Honor 6,Android,13.84,yes,no,8.0,5.0,32.0,2.0,3020.0,144.0,2020,234,3.878259375,4.518958489
Honor 7,Android,15.77,yes,no,13.0,8.0,64.0,4.0,3400.0,164.0,2020,219,4.729421148,5.18872569
Honor 8,Android,15.32,yes,no,13.0,16.0,128.0,6.0,4000.0,165.0,2020,161,4.886054204,5.299916088
Honor 9,Android,16.23,yes,no,13.0,8.0,128.0,6.0,4000.0,176.0,2020,327,4.773223771,5.073610093
Honor 10,Android,15.47,yes,no,13.0,8.0,64.0,3.0,3020.0,150.0,2020,268,4.26703657,4.713665782
Honor 11,Android,15.32,yes,no,13.0,8.0,64.0,4.0,5000.0,185.0,2020,344,4.657383057,4.770176021
Honor 12,Android,16.69,yes,yes,13.0,16.0,128.0,8.0,4100.0,206.0,2019,537,5.383255763,6.213967894
Honor 13,Android,15.32,yes,no,13.0,16.0,64.0,4.0,4000.0,171.5,2019,336,4.617592706,5.398750764
Honor 14,Android,14.5,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,230,4.111365547,4.487512143
Honor 15,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2019,248,4.411221293,4.866225902
Honor 16,Android,15.9,yes,no,13.0,32.0,128.0,6.0,3750.0,172.0,2019,395,5.022366217,5.517934708
Honor 17,Android,16.74,yes,no,13.0,16.0,64.0,4.0,4000.0,206.0,2019,421,4.777020443,5.193179048
Honor 18,Android,14.5,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,532,4.248638089,4.792313433
Honor 19,Android,25.43,yes,no,5.0,2.0,32.0,3.0,5100.0,173.0,2019,266,4.267877613,5.517051209
Honor 20,Android,20.32,yes,no,8.0,8.0,32.0,3.0,5100.0,173.0,2019,321,4.556295018,5.304001183
Others 0,Android,20.32,no,no,8.0,0.3,16.0,1.0,5680.0,453.6,2013,933,4.45213555,5.48438191
HTC 0,Android,15.29,yes,no,13.0,16.0,32.0,3.0,3850.0,170.0,2019,187,4.560800238,5.195730778
HTC 1,Android,12.88,yes,no,13.0,13.0,64.0,4.0,3075.0,150.0,2019,499,4.595624773,5.39771011
HTC 2,Android,15.29,yes,no,13.0,8.0,32.0,3.0,3300.0,160.0,2019,497,4.426521875,5.006091654
HTC 3,Android,15.24,yes,no,13.0,14.5,128.0,6.0,3930.0,180.0,2019,202,5.213467289,6.039968956
HTC 4,Android,15.29,yes,no,13.0,16.0,64.0,4.0,3850.0,170.0,2019,493,4.636668853,5.631426812
Huawei 0,Android,15.37,yes,yes,10.5,16.0,128.0,6.0,4000.0,192.0,2020,91,4.905496976,5.520380334
Huawei 1,Android,15.37,yes,yes,10.5,16.0,64.0,6.0,4000.0,182.0,2020,299,4.820442843,5.39603374
